Dealer_ID,Dealer_State,Make,Vehicle Category,Vehicle Colour,Listing Month,Transmission Type,Fuel Type,Cylinders,Engine Size,CO2 Emissions
D003,WA,PORSCHE,FULL-SIZE,Orange,Oct,AM8,Z,6,3,253
D027,VIC,BMW,SUBCOMPACT,Brown,Jul,AM7,Z,8,4.4,344
D016,NSW,GMC,PICKUP TRUCK - STANDARD,Red,Jun,A8,Z,8,6.2,322
D025,WA,CHEVROLET,PICKUP TRUCK - STANDARD,Red,Jul,A6,X,8,,297
D020,QLD,TOYOTA,SUV - STANDARD,Black,Nov,AS5,X,6,4,308
D011,VIC,FORD,TWO-SEATER,Blue,Sep,AM7,Z,6,3.5,406
D041,VIC,JAGUAR,TWO-SEATER,Green,Oct,AS8,Z,6,3,242
D029,NSW,VOLKSWAGEN,COMPACT,Blue,Feb,AM6,Z,4,2,216
D006,TAS,KIA,SUV - SMALL,Silver,May,AS6,X,4,2.4,246
D051,NSW,SUBARU,SUV - SMALL,,May,M6,X,4,2.5,223
D035,VIC,TOYOTA,PICKUP TRUCK - SMALL,Black,May,A4,X,4,2.7,283
D054,QLD,NISSAN,PICKUP TRUCK - SMALL,Red,Apr,A5,X,6,11.2,326
D023,TAS,GMC,PICKUP TRUCK - SMALL,Silver,Jun,A8,X,6,3.6,274
D020,QLD,HONDA,MID-SIZE,Grey,Jul,M6,X,6,3.5,251
D036,NSW,BMW,MID-SIZE,Red,Apr,AS8,Z,8,4.4,322
D020,QLD,AUDI,TWO-SEATER,Silver,Sep,M6,Z,8,4.2,382
D012,SA,MERCEDES-BENZ,SUBCOMPACT,,May,A9,Z,,3,248
D048,NSW,TOYOTA,SUV - STANDARD,,Jun,AV6,X,6,3.5,193
D052,NSW,BUICK,SUV - SMALL,White,May,AS6,X,4,1.4,204
D027,VIC,JEEP,SUV - SMALL,Blue,Mar,M6,X,4,2.4,211
D009,NSW,JEEP,SUV - SMALL,Silver,Feb,A9,X,4,2.4,222
D005,NSW,INFINITI,MID-SIZE,White,Mar,AS7,Z,8,5.6,294
D012,SA,BMW,SUV - STANDARD,White,Aug,A6,Z,8,,370
D032,TAS,GMC,PICKUP TRUCK - STANDARD,Grey,Jun,A6,Z,8,6.2,324
D032,TAS,HONDA,MID-SIZE,Black,Jun,M6,X,4,2.4,200
D026,NSW,HYUNDAI,COMPACT,White,Jul,M6,X,4,1.6,177
D039,NSW,BMW,SUBCOMPACT,White,Mar,AM7,Z,6,3,244
D040,QLD,CHEVROLET,COMPACT,Silver,Nov,AS6,X,4,1.4,191
D048,NSW,AUDI,SUBCOMPACT,Red,Jun,AM6,X,4,2,223
D024,SA,MINI,MINICOMPACT,Grey,Oct,M6,Z,4,1.6,172
D047,VIC,PORSCHE,MINICOMPACT,White,Jul,M7,Z,6,3.8,267
D006,TAS,KIA,FULL-SIZE,Silver,Sep,AS6,X,,1.6,228
D017,VIC,BMW,COMPACT,White,Aug,M6,Z,6,3,230
D020,QLD,VOLVO,MID-SIZE,Grey,Sep,AS8,Z,4,2,204
D043,QLD,HONDA,MID-SIZE,White,Mar,AV,X,4,1.5,114
D058,VIC,CADILLAC,MID-SIZE,Red,Aug,AS8,X,6,3.6,246
D040,QLD,GMC,SUV - STANDARD,White,Mar,A6,E,8,5.3,305
D026,NSW,TOYOTA,PICKUP TRUCK - STANDARD,Red,Nov,AS6,X,8,5.7,360
D059,NSW,LEXUS,MID-SIZE,White,Nov,AV8,Z,8,5,262
D024,SA,HONDA,COMPACT,White,Dec,AV7,X,4,2,176
D025,WA,CHEVROLET,SUV - STANDARD,Green,Oct,A6,X,6,3.6,322
D020,QLD,SUBARU,SUV - STANDARD,Red,Mar,AV8,X,4,2.4,244
D020,QLD,BMW,SUBCOMPACT,Blue,Dec,,Z,6,3,231
D036,NSW,BMW,MID-SIZE,White,Sep,AS8,Z,8,4.4,283
D050,NSW,MINI,SUBCOMPACT,Blue,Aug,M6,Z,3,1.5,175
D035,VIC,MERCEDES-BENZ,MID-SIZE,Black,Dec,AS7,Z,8,4.7,294
D056,WA,NISSAN,SPECIAL PURPOSE VEHICLE,Brown,Aug,AV,X,4,2,218
D016,NSW,SUBARU,MID-SIZE,Black,Aug,M5,X,4,2,208
D041,VIC,TOYOTA,SUV - SMALL,White,Jan,AS6,X,6,3.5,263
D054,QLD,JEEP,SUV - SMALL,Grey,Sep,M5,X,4,2,216
D020,QLD,VOLVO,SUV - SMALL,Orange,Jun,AS8,Z,4,2,211
D060,NSW,INFINITI,MID-SIZE,Black,Nov,AS7,Z,6,3,253
D032,TAS,CHEVROLET,FULL-SIZE,White,Mar,AS6,X,6,,244
D028,NSW,MITSUBISHI,COMPACT,Black,May,AV6,X,4,2,189
D038,VIC,FORD,MID-SIZE,Black,Jan,AS6,X,4,2,225
D003,WA,FORD,SPECIAL PURPOSE VEHICLE,White,Jun,AS6,X,4,2.5,252
D031,QLD,TOYOTA,COMPACT,Silver,Mar,M6,X,4,1.5,157
D022,VIC,VOLKSWAGEN,SUV - STANDARD,Green,Aug,AS8,D,6,3,270
D051,NSW,FORD,PICKUP TRUCK - STANDARD,Green,Oct,AS10,X,6,3.5,291
D008,WA,CADILLAC,MID-SIZE,White,Feb,AS8,X,6,3.6,185.25
D055,QLD,AUDI,SUBCOMPACT,Silver,Nov,AM7,Z,4,,220
D006,TAS,BMW,COMPACT,Unknown,Apr,AS8,Z,6,3,249
D041,VIC,BMW,SUBCOMPACT,White,Jul,AS8,Z,4,2,213
D047,VIC,PORSCHE,TWO-SEATER,Red,Aug,AM7,Z,4,2,219
D022,VIC,KIA,SUV - SMALL,Red,Jun,A6,X,4,6.6,237
D029,NSW,FORD,SUBCOMPACT,White,Jan,AS10,X,4,2.3,244
D056,WA,SUBARU,MID-SIZE,Unknown,Jul,AV,X,4,2.5,198
D048,NSW,HONDA,MID-SIZE,White,Aug,,X,,1.5,153
D051,NSW,DODGE,FULL-SIZE,Black,Sep,A8,X,,,242
D001,WA,BMW,STATION WAGON - SMALL,White,Jun,AS8,Z,4,2,313.5
D001,WA,JEEP,SUV - SMALL,Black,Apr,M6,X,4,2.4,221
D010,VIC,AUDI,MID-SIZE,Black,Jul,A7,Z,8,4,281
D001,WA,HONDA,MID-SIZE,Silver,Apr,AV7,X,4,2.4,285
D015,VIC,LEXUS,SUV - SMALL,Black,Mar,AS8,X,6,3.5,255
D019,WA,VOLVO,STATION WAGON - MID-SIZE,Yellow,Jul,AS8,Z,4,2,214
D027,VIC,CHEVROLET,MID-SIZE,Silver,May,M6,X,4,1.4,173
D039,NSW,ACURA,SUV - SMALL,Blue,May,AS6,Z,6,3.5,244
D044,NSW,AUDI,COMPACT,White,Oct,AS8,Z,4,,221
D033,VIC,LAND ROVER,SUV - STANDARD,Black,Aug,AS8,Z,6,3,291
D052,NSW,LEXUS,SUV - STANDARD,Yellow,Jul,AS6,Z,8,5.7,382
D035,VIC,NISSAN,SUV - SMALL,Red,Apr,AV,X,4,2.5,192
D028,NSW,BMW,MID-SIZE,Unknown,Sep,A8,Z,6,3,232
D003,WA,TOYOTA,COMPACT,Grey,Apr,AV,X,4,1.5,120
D059,NSW,MAZDA,COMPACT,Orange,Jul,AS6,X,4,2,179
D034,VIC,CHEVROLET,PICKUP TRUCK - SMALL,Orange,Oct,M6,X,4,2.5,251
D034,VIC,NISSAN,PICKUP TRUCK - SMALL,Grey,Apr,M6,X,6,4,317
D060,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Red,Mar,A6,X,6,4.3,294
D031,QLD,NISSAN,TWO-SEATER,Red,Nov,,Z,6,3.7,264
